,diet,lat,lon,nz,site
000001685.1075790,Omnivore,37.8,-122.4,374,UBERON:feces
000001687.1257323,Omnivore,37.8,-122.4,370,UBERON:feces
000001688.fixed960,Omnivore,37.8,-122.4,361,UBERON:feces
000001694.1075841,Omnivore,37.7,-122.4,448,UBERON:feces
000001697.1131543,Omnivore,37.8,-122.5,117,UBERON:tongue
000001699.1130468,Omnivore,37.8,-122.4,436,UBERON:feces
000001701.1131724,Omnivore,37.8,-122.4,26,UBERON:feces
000001701.1210578,Omnivore,37.8,-122.4,395,UBERON:feces
000001702.fixed280,Omnivore,37.5,-122.1,269,UBERON:feces
000001704.1075734,no_data,37.4,-122.1,335,UBERON:feces
000001705.1076050,Omnivore,37.4,-122.1,448,UBERON:feces
000001711.1075845,Omnivore,38.0,-122.2,500,UBERON:feces
000001712.fixed20,Omnivore,38.0,-121.7,412,UBERON:feces
000001713.1076135,Omnivore,38.5,-122.4,393,UBERON:feces
000001714.1075902,Vegetarian,37.7,-122.2,361,UBERON:feces
000001719.1130248,Omnivore,37.9,-122.3,6,UBERON:feces
000001725.1076340,no_data,37.9,-122.3,589,UBERON:feces
000001726.1076111,Omnivore,37.9,-122.3,221,UBERON:feces
000001730.1257459,Omnivore,37.9,-122.5,357,UBERON:feces
000001731.1076049,Omnivore,38.0,-122.6,402,UBERON:feces
000001732.1131851,Omnivore but no red meat,37.4,-122.0,490,UBERON:feces
000001734.1213036,Omnivore,37.0,-122.0,494,UBERON:feces
000001735.1076099,Omnivore but no red meat,37.3,-122.0,203,UBERON:feces
000001745.1075778,Omnivore,39.1,-123.2,324,UBERON:feces
000001747.1075724,Omnivore,38.5,-121.7,250,UBERON:feces
000001748.1130539,Omnivore,38.7,-121.3,330,UBERON:feces
000001749.1075972,Omnivore,38.7,-121.3,570,UBERON:feces
000001750.1259773,Omnivore,38.7,-121.3,278,UBERON:feces
000001751.1075854,Omnivore,38.7,-121.2,311,UBERON:feces
000001755.1075846,Omnivore,38.6,-122.0,597,UBERON:feces
000001756.1075979,Omnivore,38.7,-121.9,171,UBERON:feces
000001759.1130559,Omnivore,38.6,-121.5,298,UBERON:feces
000001762.1075722,Omnivore,39.5,-121.4,244,UBERON:feces
000001763.1075809,Omnivore,39.7,-121.8,180,UBERON:feces
000001764.1075760,Omnivore,40.7,-122.3,344,UBERON:feces
000001765.1076173,Omnivore,41.2,-122.2,585,UBERON:feces
000001769.1076133,Omnivore but no red meat,22.1,-159.4,405,UBERON:feces
000001770.1075955,Omnivore,21.9,-159.5,208,UBERON:feces
000001772.1075792,Omnivore,21.3,-157.8,327,UBERON:feces
000001778.1131881,Omnivore,45.6,-122.9,11,UBERON:feces
000001779.1076243,Omnivore,45.5,-122.6,287,UBERON:feces
000001780.1213073,Omnivore,45.5,-122.7,602,UBERON:feces
000001782.1076436,Omnivore,45.5,-122.6,533,UBERON:feces
000001786.1075834,Omnivore,44.9,-123.0,403,UBERON:feces
000001787.1053922,Omnivore,44.6,-123.3,4,UBERON:feces
000001787.1130232,Omnivore,44.6,-123.3,605,UBERON:feces
000001789.1210787,Omnivore,44.6,-123.3,429,UBERON:feces
000001792.1131672,Omnivore,44.0,-123.1,289,UBERON:feces
000001793.1076039,Omnivore,44.0,-123.1,500,UBERON:feces
000001794.1075867,Omnivore,43.2,-123.5,344,UBERON:feces
000001795.1076010,Omnivore,42.3,-122.9,10,UBERON:feces
000001797.1075964,Omnivore,42.3,-123.4,190,UBERON:feces
000001799.1131949,Vegetarian but eat seafood,42.3,-122.1,409,UBERON:feces
000001801.1076017,Omnivore,44.1,-121.3,201,UBERON:feces
000001802.1075921,Omnivore but no red meat,44.1,-121.3,288,UBERON:feces
000001803.1257213,Omnivore,44.1,-121.3,570,UBERON:feces
000001804.1212968,Omnivore,44.1,-121.3,178,UBERON:feces
000001805.1131920,Omnivore,47.8,-122.2,449,UBERON:feces
000001808.1075826,Omnivore,47.5,-122.0,402,UBERON:feces
000001811.1131510,Omnivore,47.4,-122.2,174,UBERON:feces
000001812.1075914,Omnivore,47.8,-122.3,478,UBERON:feces
000001820.fixed712,Omnivore,47.5,-122.4,693,UBERON:feces
000001826.1075728,Omnivore,47.6,-122.4,289,UBERON:feces
000001827.1076437,Omnivore,47.6,-122.4,496,UBERON:feces
000001830.1076118,Omnivore,47.6,-122.3,413,UBERON:feces
000001832.1075755,Vegan,47.9,-122.3,357,UBERON:feces
000001833.1053836,Vegan,48.8,-122.5,725,UBERON:feces
000001835.1075812,Omnivore,48.0,-122.4,236,UBERON:feces
000001837.1130157,Omnivore,47.6,-122.6,223,UBERON:feces
000001842.1076007,Omnivore but no red meat,47.0,-122.7,406,UBERON:feces
000001851.1076307,Vegetarian but eat seafood,44.3,-73.3,2,UBERON:feces
000001851.1130393,Vegetarian but eat seafood,44.3,-73.3,370,UBERON:feces
000001852.1075839,Omnivore,41.4,-72.2,352,UBERON:feces
000001854.1075977,Omnivore,40.5,-74.6,260,UBERON:feces
000001856.1075938,Omnivore,43.1,-76.2,422,UBERON:feces
000001860.1076085,Omnivore,39.1,-76.9,520,UBERON:feces
000001861.1076339,Vegan,36.9,-76.3,388,UBERON:feces
000001862.1131790,Omnivore,39.4,-80.1,425,UBERON:feces
000001870.1212959,Omnivore but no red meat,40.9,-96.7,446,UBERON:feces
000001874.1075818,Omnivore,30.3,-97.7,382,UBERON:feces
000001878.1076032,Omnivore,43.6,-116.2,273,UBERON:feces
000001879.1076223,Omnivore,40.8,-111.9,253,UBERON:feces
000001884.1076094,Vegetarian but eat seafood,37.8,-122.4,406,UBERON:feces
000001886.1076042,Omnivore but no red meat,38.6,-121.4,344,UBERON:feces
000001887.1076214,Omnivore,45.5,-122.7,580,UBERON:feces
000001888.1075983,Omnivore,47.6,-122.3,6,UBERON:feces
000001892.1076265,Omnivore,43.8,-79.4,530,UBERON:feces
000001895.1131608,Omnivore,43.7,-79.4,366,UBERON:feces
000001897.1213046,Vegetarian,43.5,-80.5,456,UBERON:feces
000001902.1131629,Omnivore,53.2,-105.8,444,UBERON:feces
000001903.1261982,Omnivore,52.1,-106.7,512,UBERON:feces
000001905.1130196,Omnivore,51.1,-114.1,447,UBERON:feces
000001906.1130170,Omnivore,51.1,-114.1,225,UBERON:feces
000001907.1053898,Omnivore,53.6,-113.5,449,UBERON:feces
000001908.1076338,Omnivore,53.5,-113.4,290,UBERON:feces
000001911.1076144,Omnivore,49.2,-122.8,610,UBERON:feces
000001912.1076194,Omnivore,49.3,-123.0,1,UBERON:feces
000001916.1075888,Omnivore,49.3,-123.2,3,UBERON:feces
000001917.1210728,Omnivore,49.3,-123.2,1,UBERON:feces
000001917.1259718,Omnivore,49.3,-123.2,772,UBERON:feces
